NCES School ID,Low Grade*,High Grade*,School Name,Street Address,City,State,ZIP,Phone,Students*,Teachers*,Student Teacher Ratio*,District IRN,District Name,County,Expenditures per Equivalent Pupil
390438000582,PK,3,Alpine Elementary School,1590 Alpine Dr,Columbus,OH,43229,(614)365-5359,307,17.0,18.06,43802,Columbus City Schools District,Franklin,"$16,334"
390438000632,6,8,Arts Impact Middle School (Aims),680 Jack Gibbs Blvd,Columbus,OH,43215,(614)365-5558,532,33.0,16.12,43802,Columbus City Schools District,Franklin,"$15,575"
390438000584,KG,3,Avalon Elementary School,5220 Avalon Ave,Columbus,OH,43229,(614)365-5361,375,20.0,18.75,43802,Columbus City Schools District,Franklin,"$14,784"
390438000585,PK,5,Avondale Elementary School,141 Hawkes Ave,Columbus,OH,43222,(614)365-6511,240,16.0,15,43802,Columbus City Schools District,Franklin,"$13,590"
390438000587,KG,5,Beatty Park Elementary School,519 Trevitt St,Columbus,OH,43203,(614)365-6074,47,10.0,4.7,43802,Columbus City Schools District,Franklin,"$18,122"
390438000590,9,12,Beechcroft High School,6100 Beechcroft Rd,Columbus,OH,43229,(614)365-5364,658,44.0,14.95,43802,Columbus City Schools District,Franklin,"$15,502"
390438000592,PK,8,Berwick Alternative K-8 School,2655 Scottwood Rd,Columbus,OH,43209,(614)365-6140,633,35.0,18.09,43802,Columbus City Schools District,Franklin,"$14,492"
390438000593,KG,5,Binns Elementary School,1080 Binns Blvd,Columbus,OH,43204,(614)365-5911,297,15.0,19.8,43802,Columbus City Schools District,Franklin,"$15,608"
390438000595,9,12,Briggs High School,2555 Briggs Rd,Columbus,OH,43223,(614)365-5915,980,50.0,19.6,43802,Columbus City Schools District,Franklin,"$13,948"
390438000596,PK,5,Broadleigh Elementary School,3039 Maryland Ave,Columbus,OH,43209,(614)365-6144,277,16.0,17.31,43802,Columbus City Schools District,Franklin,"$14,064"
390438000598,6,8,Buckeye Middle School,2950 Parsons Ave,Columbus,OH,43207,(614)365-5417,359,32.0,11.22,43802,Columbus City Schools District,Franklin,"$17,650"
390438000599,PK,5,Burroughs Elementary School,551 S Richardson Ave,Columbus,OH,43204,(614)365-5923,388,28.0,13.86,43802,Columbus City Schools District,Franklin,"$13,423"
