NCES,Low,High , Name, District, County, Address, City, State, ZIP, Phone,Locale,Charter,Students,Teachers,Ratio,Free ,Reduced , Certified,Type,Status
390487306154,6,9,3EA,Northridge Local,Montgomery County,2008 Timber Ln,Dayton,OH,45414,(937)278-5885,Suburb: Large,No,55,0.00,†,–,–,45,Regular,Open
390471702692,KG,4,A J Jordak Elementary School,Cardinal Local,Geauga County,16000 E High St,Middlefield,OH,44062,(440)632-0261,Town: Distant,No,282,19.00,14.84,83,24,–,Regular,Open
390030504842,KG,8,A+ Arts Academy,A+ Arts Academy,Franklin County,1395 Fair Ave,Columbus,OH,43205,(614)725-1305,City: Large,Yes,401,28.00,14.32,–,–,316,Regular,Open
390148005718,KG,6,A+ Children's Academy,A+ Children's Academy,Franklin County,114 Obetz Rd,Columbus,OH,43207,(614)491-8502,City: Large,Yes,96,9.00,10.67,–,–,81,Regular,Open
390443800365,6,8,A. I. Root Middle School,Medina City SD,Medina County,333 W Sturbridge Dr,Medina,OH,44256,(330)636-3500,Suburb: Large,No,678,43.75,15.50,63,20,–,Regular,Open
390470206054,KG,5,Abraham Depp Elementary,Dublin City,Union County,9001 GARDENIA DRIVE,PLAIN CITY,OH,43064,(614)718-8642,Rural: Fringe,No,738,33.50,22.03,16,3,–,Regular,Open
390443005353,PK,1,Abraham Lincoln School,Maple Heights City,Cuyahoga County,6009 Dunham Rd,Maple Heights,OH,44137,(216)438-6030,Suburb: Large,No,479,23.00,20.83,–,–,349,Regular,Open
390437504258,PK,8,Academy for Multilingual Immersion Studies,Cincinnati Public Schools,Hamilton County,1908 Seymour Ave,Cincinnati,OH,45237,(513)363-1800,City: Large,No,548,31.10,17.62,–,–,214,Regular,Open
390147205727,9,12,Academy for Urban Scholars Youngstown,Academy for Urban Scholars Youngstown,Mahoning County,3405 Market St,Youngstown,OH,44507,(330)744-9070,City: Small,Yes,243,6.00,40.50,–,–,148,Regular,Open
390437504280,PK,8,Academy Of World Languages School,Cincinnati Public Schools,Hamilton County,2030 Fairfax Ave,Cincinnati,OH,45207,(513)363-7800,City: Large,No,535,38.56,13.87,–,–,260,Regular,Open
390160205984,9,12,AchievePoint Career Academy - Cincinnati,AchievePoint Career Academy - Cincinnati,Hamilton County,5098 Glencrossing Way,Cincinnati,OH,45238,(513)334-3607,City: Large,Yes,210,9.00,23.33,–,–,3,Regular,Open
390451806088,7,12,Ada Bulldog Academy,Ada Exempted Village,Hardin County,725 W North Ave,Ada,OH,45810,(419)634-6421,Rural: Fringe,No,3,1.00,3.00,–,–,†,Regular,Open
390451802112,KG,6,Ada Elementary School,Ada Exempted Village,Hardin County,725 W North Ave,Ada,OH,45810,(419)634-2341,Rural: Fringe,No,464,†,†,–,–,3,Regular,Open
390451802113,7,12,Ada High School,Ada Exempted Village,Hardin County,725 W North Ave,Ada,OH,45810,(419)634-2746,Rural: Fringe,No,389,†,†,204,58,–,Regular,Open
390488703434,PK,6,Adamsville Elementary School,Tri-Valley Local,Muskingum County,7950 East St,Adamsville,OH,43802,(740)796-2153,Rural: Distant,No,263,14.00,18.79,115,21,–,Regular,Open
390656804128,PK,5,Addaville Elementary School,Gallia County Local,Gallia County,1333 Brick School Rd,Gallipolis,OH,45631,(740)367-7283,Rural: Distant,No,331,19.23,17.21,–,–,158,Regular,Open
390494903613,PK,5,Adena Elementary School,Adena Local,Ross County,3367 County Road 550,Frankfort,OH,45628,(740)998-5293,Rural: Distant,No,491,20.00,24.55,410,78,–,Regular,Open
390461102435,3,6,Adena Elementary School,Lakota Local,Butler County,9316 Minuteman Way,West Chester,OH,45069,(513)777-0100,Suburb: Large,No,668,27.50,24.29,224,32,–,Regular,Open
390494903611,9,12,Adena High School,Adena Local,Ross County,3367 County Road 550,Frankfort,OH,45628,(740)998-2313,Rural: Distant,No,316,17.00,18.59,–,–,3,Regular,Open
390494901451,6,8,Adena Middle School,Adena Local,Ross County,3367 County Road 550,Frankfort,OH,45628,(740)998-2313,Rural: Distant,No,379,18.00,21.06,–,–,3,Regular,Open
390437800413,PK,8,Adlai Stevenson School,Cleveland Municipal,Cuyahoga County,18300 Woda Avenue,Cleveland,OH,44122,(216)838-5300,City: Large,No,419,25.00,16.76,–,–,416,Regular,Open
